ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,weekday,net_xyz_vs_,net_xyz_vs_other_card,YearMonth,YearMonth_str
Big Street ATM,2011-04-04,20,8,12,101000,54300,46700,Monday,Hindu_festival,,HWW,Monday,-4,-4,2011-04,2011-04
Mount Road ATM,2011-04-04,178,86,92,608500,364200,244300,Monday,Hindu_festival,,HWW,Monday,-6,-6,2011-04,2011-04
Airport ATM,2011-04-04,70,60,10,412900,358300,54600,Monday,Hindu_festival,,HWW,Monday,50,50,2011-04,2011-04
KK Nagar ATM,2011-04-04,179,146,33,690500,587400,103100,Monday,Hindu_festival,,HWW,Monday,113,113,2011-04,2011-04
Christ College ATM,2011-04-04,71,35,36,295600,145700,149900,Monday,Hindu_festival,,HWW,Monday,-1,-1,2011-04,2011-04
Christ College ATM,2011-04-05,99,53,46,423500,246500,177000,Tuesday,National_holiday,,WWW,Tuesday,7,7,2011-04,2011-04
KK Nagar ATM,2011-04-05,239,171,68,1013600,648200,365400,Tuesday,National_holiday,,WWW,Tuesday,103,103,2011-04,2011-04
Mount Road ATM,2011-04-05,189,102,87,734200,459100,275100,Tuesday,National_holiday,,WWW,Tuesday,15,15,2011-04,2011-04
Big Street ATM,2011-04-05,39,22,17,202300,157300,45000,Tuesday,National_holiday,,WWW,Tuesday,5,5,2011-04,2011-04
Airport ATM,2011-04-05,93,69,24,406000,356700,49300,Tuesday,National_holiday,,WWW,Tuesday,45,45,2011-04,2011-04
KK Nagar ATM,2011-04-06,245,195,50,1007100,796400,210700,Wednesday,National_holiday,,WWW,Wednesday,145,145,2011-04,2011-04
Big Street ATM,2011-04-06,33,19,14,115400,66600,48800,Wednesday,National_holiday,,WWW,Wednesday,5,5,2011-04,2011-04
Mount Road ATM,2011-04-06,194,68,126,638500,264500,374000,Wednesday,National_holiday,,WWW,Wednesday,-58,-58,2011-04,2011-04
Airport ATM,2011-04-06,128,102,26,696000,571500,124500,Wednesday,National_holiday,,WWW,Wednesday,76,76,2011-04,2011-04
Christ College ATM,2011-04-06,106,40,66,388700,161000,227700,Wednesday,National_holiday,,WWW,Wednesday,-26,-26,2011-04,2011-04
Christ College ATM,2011-04-07,86,50,36,388600,211200,177400,Thursday,National_holiday,,WWW,Thursday,14,14,2011-04,2011-04
Airport ATM,2011-04-07,125,101,24,637400,540200,97200,Thursday,National_holiday,,WWW,Thursday,77,77,2011-04,2011-04
KK Nagar ATM,2011-04-07,217,164,53,1028000,781200,246800,Thursday,National_holiday,,WWW,Thursday,111,111,2011-04,2011-04
Mount Road ATM,2011-04-07,183,94,89,688000,426000,262000,Thursday,National_holiday,,WWW,Thursday,5,5,2011-04,2011-04
Big Street ATM,2011-04-07,23,8,15,109800,33900,75900,Thursday,National_holiday,,WWW,Thursday,-7,-7,2011-04,2011-04
Big Street ATM,2011-04-08,28,13,15,122500,79900,42600,Friday,National_holiday,,WWH,Friday,-2,-2,2011-04,2011-04
Mount Road ATM,2011-04-08,193,118,75,774300,561500,212800,Friday,National_holiday,,WWH,Friday,43,43,2011-04,2011-04
Airport ATM,2011-04-08,49,31,18,209400,128500,80900,Friday,National_holiday,,WWH,Friday,13,13,2011-04,2011-04
KK Nagar ATM,2011-04-08,202,148,54,914800,637900,276900,Friday,National_holiday,,WWH,Friday,94,94,2011-04,2011-04
Christ College ATM,2011-04-08,95,48,47,373000,187600,185400,Friday,National_holiday,,WWH,Friday,1,1,2011-04,2011-04
Big Street ATM,2011-04-09,42,30,12,155600,125300,30300,Saturday,National_holiday,True,WHH,Saturday,18,18,2011-04,2011-04
Mount Road ATM,2011-04-09,184,103,81,602200,404400,197800,Saturday,National_holiday,True,WHH,Saturday,22,22,2011-04,2011-04
Airport ATM,2011-04-09,120,104,16,550300,510900,39400,Saturday,National_holiday,True,WHH,Saturday,88,88,2011-04,2011-04
KK Nagar ATM,2011-04-09,232,192,40,759100,657100,102000,Saturday,National_holiday,True,WHH,Saturday,152,152,2011-04,2011-04
Christ College ATM,2011-04-09,91,57,34,483600,328700,154900,Saturday,National_holiday,True,WHH,Saturday,23,23,2011-04,2011-04
KK Nagar ATM,2011-04-10,143,96,47,370100,247000,123100,Sunday,National_holiday,True,HHW,Sunday,49,49,2011-04,2011-04
Airport ATM,2011-04-10,66,42,24,350200,280900,69300,Sunday,National_holiday,True,HHW,Sunday,18,18,2011-04,2011-04
Christ College ATM,2011-04-10,58,15,43,217800,43700,174100,Sunday,National_holiday,True,HHW,Sunday,-28,-28,2011-04,2011-04
Big Street ATM,2011-04-10,42,20,22,112700,73600,39100,Sunday,National_holiday,True,HHW,Sunday,-2,-2,2011-04,2011-04
Mount Road ATM,2011-04-10,169,34,135,442300,154300,288000,Sunday,National_holiday,True,HHW,Sunday,-101,-101,2011-04,2011-04
Big Street ATM,2011-04-11,41,21,20,141300,100500,40800,Monday,National_holiday,,HWH,Monday,1,1,2011-04,2011-04
Mount Road ATM,2011-04-11,227,109,118,679100,442300,236800,Monday,National_holiday,,HWH,Monday,-9,-9,2011-04,2011-04
Airport ATM,2011-04-11,116,81,35,442100,275000,167100,Monday,National_holiday,,HWH,Monday,46,46,2011-04,2011-04
KK Nagar ATM,2011-04-11,266,177,89,893300,611100,282200,Monday,National_holiday,,HWH,Monday,88,88,2011-04,2011-04
Christ College ATM,2011-04-11,78,45,33,283400,197100,86300,Monday,National_holiday,,HWH,Monday,12,12,2011-04,2011-04
Christ College ATM,2011-04-12,82,46,36,322800,204500,118300,Tuesday,Hindu_festival,True,WHW,Tuesday,10,10,2011-04,2011-04
KK Nagar ATM,2011-04-12,204,164,40,739500,618200,121300,Tuesday,Hindu_festival,True,WHW,Tuesday,124,124,2011-04,2011-04
Airport ATM,2011-04-12,107,82,25,479600,387900,91700,Tuesday,Hindu_festival,True,WHW,Tuesday,57,57,2011-04,2011-04
Big Street ATM,2011-04-12,31,14,17,111500,64800,46700,Tuesday,Hindu_festival,True,WHW,Tuesday,-3,-3,2011-04,2011-04
Mount Road ATM,2011-04-12,180,100,80,559200,365900,193300,Tuesday,Hindu_festival,True,WHW,Tuesday,20,20,2011-04,2011-04
Big Street ATM,2011-05-01,23,6,17,60200,19000,41200,Sunday,Normal_Day,True,HHW,Sunday,-11,-11,2011-05,2011-05
Mount Road ATM,2011-05-01,159,50,109,636000,280600,355400,Sunday,Normal_Day,True,HHW,Sunday,-59,-59,2011-05,2011-05
Airport ATM,2011-05-01,131,63,68,468900,306900,162000,Sunday,Normal_Day,True,HHW,Sunday,-5,-5,2011-05,2011-05
KK Nagar ATM,2011-05-01,148,117,31,577100,482900,94200,Sunday,Normal_Day,True,HHW,Sunday,86,86,2011-05,2011-05
Christ College ATM,2011-05-01,52,20,32,200300,79100,121200,Sunday,Normal_Day,True,HHW,Sunday,-12,-12,2011-05,2011-05
Christ College ATM,2011-05-02,93,42,51,436200,228800,207400,Monday,National_holiday,,HWW,Monday,-9,-9,2011-05,2011-05
KK Nagar ATM,2011-05-02,244,166,78,1245600,799100,446500,Monday,National_holiday,,HWW,Monday,88,88,2011-05,2011-05
Mount Road ATM,2011-05-02,96,55,41,361600,233800,127800,Monday,National_holiday,,HWW,Monday,14,14,2011-05,2011-05
Big Street ATM,2011-05-02,23,15,8,116500,80900,35600,Monday,National_holiday,,HWW,Monday,7,7,2011-05,2011-05
Airport ATM,2011-05-02,138,87,51,617800,447200,170600,Monday,National_holiday,,HWW,Monday,36,36,2011-05,2011-05
Big Street ATM,2011-05-03,22,20,2,97200,83200,14000,Tuesday,National_holiday,,WWW,Tuesday,18,18,2011-05,2011-05
Mount Road ATM,2011-05-03,204,101,103,891100,523600,367500,Tuesday,National_holiday,,WWW,Tuesday,-2,-2,2011-05,2011-05
Airport ATM,2011-05-03,95,75,20,552900,454300,98600,Tuesday,National_holiday,,WWW,Tuesday,55,55,2011-05,2011-05
KK Nagar ATM,2011-05-03,199,166,33,870800,752500,118300,Tuesday,National_holiday,,WWW,Tuesday,133,133,2011-05,2011-05
Christ College ATM,2011-05-03,77,48,29,365300,250900,114400,Tuesday,National_holiday,,WWW,Tuesday,19,19,2011-05,2011-05
Big Street ATM,2011-05-04,18,11,7,52900,33900,19000,Wednesday,National_holiday,,WWW,Wednesday,4,4,2011-05,2011-05
Mount Road ATM,2011-05-04,160,81,79,524100,350300,173800,Wednesday,National_holiday,,WWW,Wednesday,2,2,2011-05,2011-05
Airport ATM,2011-05-04,125,103,22,634000,550200,83800,Wednesday,National_holiday,,WWW,Wednesday,81,81,2011-05,2011-05
KK Nagar ATM,2011-05-04,212,169,43,992200,867100,125100,Wednesday,National_holiday,,WWW,Wednesday,126,126,2011-05,2011-05
Christ College ATM,2011-05-04,64,45,19,237600,183500,54100,Wednesday,National_holiday,,WWW,Wednesday,26,26,2011-05,2011-05
Christ College ATM,2011-05-05,82,46,36,336000,220300,115700,Thursday,National_holiday,,WWW,Thursday,10,10,2011-05,2011-05
KK Nagar ATM,2011-05-05,225,165,60,1053100,750100,303000,Thursday,National_holiday,,WWW,Thursday,105,105,2011-05,2011-05
Airport ATM,2011-05-05,106,97,9,563300,527400,35900,Thursday,National_holiday,,WWW,Thursday,88,88,2011-05,2011-05
Mount Road ATM,2011-05-05,203,93,110,730500,380200,350300,Thursday,National_holiday,,WWW,Thursday,-17,-17,2011-05,2011-05
Big Street ATM,2011-05-05,32,13,19,111200,56800,54400,Thursday,National_holiday,,WWW,Thursday,-6,-6,2011-05,2011-05
Big Street ATM,2011-05-06,22,13,9,117300,72900,44400,Friday,National_holiday,,WWH,Friday,4,4,2011-05,2011-05
Mount Road ATM,2011-05-06,175,88,87,653900,375700,278200,Friday,National_holiday,,WWH,Friday,1,1,2011-05,2011-05
Airport ATM,2011-05-06,113,87,26,663000,543100,119900,Friday,National_holiday,,WWH,Friday,61,61,2011-05,2011-05
KK Nagar ATM,2011-05-06,214,162,52,951900,710400,241500,Friday,National_holiday,,WWH,Friday,110,110,2011-05,2011-05
Christ College ATM,2011-05-06,106,45,61,408100,163100,245000,Friday,National_holiday,,WWH,Friday,-16,-16,2011-05,2011-05
Big Street ATM,2011-05-07,28,22,6,138600,106100,32500,Saturday,National_holiday,True,WHH,Saturday,16,16,2011-05,2011-05
Mount Road ATM,2011-05-07,167,85,82,709400,438800,270600,Saturday,National_holiday,True,WHH,Saturday,3,3,2011-05,2011-05
Airport ATM,2011-05-07,116,95,21,641300,528200,113100,Saturday,National_holiday,True,WHH,Saturday,74,74,2011-05,2011-05
KK Nagar ATM,2011-05-07,203,144,59,1039600,693200,346400,Saturday,National_holiday,True,WHH,Saturday,85,85,2011-05,2011-05
Christ College ATM,2011-05-07,59,34,25,282700,164200,118500,Saturday,National_holiday,True,WHH,Saturday,9,9,2011-05,2011-05
KK Nagar ATM,2011-05-08,125,79,46,392500,225000,167500,Sunday,National_holiday,True,HHW,Sunday,33,33,2011-05,2011-05
Airport ATM,2011-05-08,87,66,21,332600,253700,78900,Sunday,National_holiday,True,HHW,Sunday,45,45,2011-05,2011-05
Christ College ATM,2011-05-08,35,15,20,130900,71700,59200,Sunday,National_holiday,True,HHW,Sunday,-5,-5,2011-05,2011-05
Big Street ATM,2011-05-08,31,17,14,101000,74700,26300,Sunday,National_holiday,True,HHW,Sunday,3,3,2011-05,2011-05
Mount Road ATM,2011-05-08,127,49,78,526600,250800,275800,Sunday,National_holiday,True,HHW,Sunday,-29,-29,2011-05,2011-05
Airport ATM,2011-05-09,92,74,18,403800,355800,48000,Monday,National_holiday,,HWW,Monday,56,56,2011-05,2011-05
KK Nagar ATM,2011-05-09,155,126,29,591300,446700,144600,Monday,National_holiday,,HWW,Monday,97,97,2011-05,2011-05
Big Street ATM,2011-05-09,29,16,13,65600,43100,22500,Monday,National_holiday,,HWW,Monday,3,3,2011-05,2011-05
Mount Road ATM,2011-05-09,157,94,63,495800,401000,94800,Monday,National_holiday,,HWW,Monday,31,31,2011-05,2011-05
Christ College ATM,2011-05-09,57,35,22,258200,187800,70400,Monday,National_holiday,,HWW,Monday,13,13,2011-05,2011-05
Christ College ATM,2011-05-10,52,36,16,260700,193900,66800,Tuesday,National_holiday,,WWW,Tuesday,20,20,2011-05,2011-05
KK Nagar ATM,2011-05-10,152,111,41,560100,438200,121900,Tuesday,National_holiday,,WWW,Tuesday,70,70,2011-05,2011-05
Big Street ATM,2011-05-10,45,19,26,204200,93000,111200,Tuesday,National_holiday,,WWW,Tuesday,-7,-7,2011-05,2011-05
Mount Road ATM,2011-05-10,174,80,94,660600,381100,279500,Tuesday,National_holiday,,WWW,Tuesday,-14,-14,2011-05,2011-05
Airport ATM,2011-05-10,88,68,20,364400,291400,73000,Tuesday,National_holiday,,WWW,Tuesday,48,48,2011-05,2011-05
Big Street ATM,2011-05-11,31,17,14,114900,68800,46100,Wednesday,National_holiday,,WWW,Wednesday,3,3,2011-05,2011-05
Mount Road ATM,2011-05-11,200,81,119,789100,420400,368700,Wednesday,National_holiday,,WWW,Wednesday,-38,-38,2011-05,2011-05
Airport ATM,2011-05-11,103,83,20,489700,406900,82800,Wednesday,National_holiday,,WWW,Wednesday,63,63,2011-05,2011-05
KK Nagar ATM,2011-05-11,209,153,56,837300,649400,187900,Wednesday,National_holiday,,WWW,Wednesday,97,97,2011-05,2011-05
Christ College ATM,2011-05-11,63,44,19,287700,228800,58900,Wednesday,National_holiday,,WWW,Wednesday,25,25,2011-05,2011-05
Big Street ATM,2011-05-12,23,16,7,101000,72000,29000,Thursday,National_holiday,,WWW,Thursday,9,9,2011-05,2011-05
Mount Road ATM,2011-05-12,168,80,88,515700,308400,207300,Thursday,National_holiday,,WWW,Thursday,-8,-8,2011-05,2011-05
Airport ATM,2011-05-12,117,102,15,598500,537600,60900,Thursday,National_holiday,,WWW,Thursday,87,87,2011-05,2011-05
KK Nagar ATM,2011-05-12,161,145,16,678800,614300,64500,Thursday,National_holiday,,WWW,Thursday,129,129,2011-05,2011-05
Christ College ATM,2011-05-12,57,25,32,201200,87800,113400,Thursday,National_holiday,,WWW,Thursday,-7,-7,2011-05,2011-05
KK Nagar ATM,2011-06-01,252,192,60,1260100,978300,281800,Wednesday,National_holiday,,WWW,Wednesday,132,132,2011-06,2011-06
Airport ATM,2011-06-01,149,101,48,729400,533100,196300,Wednesday,National_holiday,,WWW,Wednesday,53,53,2011-06,2011-06
Christ College ATM,2011-06-01,78,40,38,261600,93700,167900,Wednesday,National_holiday,,WWW,Wednesday,2,2,2011-06,2011-06
Big Street ATM,2011-06-01,34,17,17,136500,81800,54700,Wednesday,National_holiday,,WWW,Wednesday,0,0,2011-06,2011-06
Mount Road ATM,2011-06-01,213,90,123,831200,463600,367600,Wednesday,National_holiday,,WWW,Wednesday,-33,-33,2011-06,2011-06
Big Street ATM,2011-06-02,30,13,17,109600,56300,53300,Thursday,National_holiday,,WWW,Thursday,-4,-4,2011-06,2011-06
Mount Road ATM,2011-06-02,246,91,155,717900,307000,410900,Thursday,National_holiday,,WWW,Thursday,-64,-64,2011-06,2011-06
Airport ATM,2011-06-02,141,110,31,580200,449100,131100,Thursday,National_holiday,,WWW,Thursday,79,79,2011-06,2011-06
KK Nagar ATM,2011-06-02,245,167,78,1152400,835900,316500,Thursday,National_holiday,,WWW,Thursday,89,89,2011-06,2011-06
Christ College ATM,2011-06-02,96,23,73,474600,152900,321700,Thursday,National_holiday,,WWW,Thursday,-50,-50,2011-06,2011-06
Christ College ATM,2011-06-03,84,29,55,423600,174400,249200,Friday,National_holiday,,WWH,Friday,-26,-26,2011-06,2011-06
KK Nagar ATM,2011-06-03,198,147,51,822500,554600,267900,Friday,National_holiday,,WWH,Friday,96,96,2011-06,2011-06
Airport ATM,2011-06-03,96,64,32,372100,269000,103100,Friday,National_holiday,,WWH,Friday,32,32,2011-06,2011-06
Big Street ATM,2011-06-03,25,12,13,124700,65800,58900,Friday,National_holiday,,WWH,Friday,-1,-1,2011-06,2011-06
Mount Road ATM,2011-06-03,222,86,136,742800,362200,380600,Friday,National_holiday,,WWH,Friday,-50,-50,2011-06,2011-06
Big Street ATM,2011-06-04,34,17,17,209300,110700,98600,Saturday,National_holiday,True,WHH,Saturday,0,0,2011-06,2011-06
Mount Road ATM,2011-06-04,234,84,150,759200,321600,437600,Saturday,National_holiday,True,WHH,Saturday,-66,-66,2011-06,2011-06
Airport ATM,2011-06-04,120,91,29,682500,546000,136500,Saturday,National_holiday,True,WHH,Saturday,62,62,2011-06,2011-06
KK Nagar ATM,2011-06-04,203,163,40,875500,673000,202500,Saturday,National_holiday,True,WHH,Saturday,123,123,2011-06,2011-06
Christ College ATM,2011-06-04,127,52,75,554100,186300,367800,Saturday,National_holiday,True,WHH,Saturday,-23,-23,2011-06,2011-06
Christ College ATM,2011-06-05,90,23,67,392000,90000,302000,Sunday,National_holiday,True,HHW,Sunday,-44,-44,2011-06,2011-06
KK Nagar ATM,2011-06-05,132,98,34,455500,324400,131100,Sunday,National_holiday,True,HHW,Sunday,64,64,2011-06,2011-06
Airport ATM,2011-06-05,116,68,48,436900,328000,108900,Sunday,National_holiday,True,HHW,Sunday,20,20,2011-06,2011-06
Mount Road ATM,2011-06-05,60,10,50,168500,34200,134300,Sunday,National_holiday,True,HHW,Sunday,-40,-40,2011-06,2011-06
Big Street ATM,2011-06-05,29,13,16,82200,49900,32300,Sunday,National_holiday,True,HHW,Sunday,-3,-3,2011-06,2011-06
Big Street ATM,2011-06-06,33,14,19,127700,63400,64300,Monday,National_holiday,,HWW,Monday,-5,-5,2011-06,2011-06
Mount Road ATM,2011-06-06,129,64,65,405800,237200,168600,Monday,National_holiday,,HWW,Monday,-1,-1,2011-06,2011-06
Airport ATM,2011-06-06,111,74,37,516500,399700,116800,Monday,National_holiday,,HWW,Monday,37,37,2011-06,2011-06
KK Nagar ATM,2011-06-06,172,134,38,648300,469600,178700,Monday,National_holiday,,HWW,Monday,96,96,2011-06,2011-06
Christ College ATM,2011-06-06,71,35,36,264200,153000,111200,Monday,National_holiday,,HWW,Monday,-1,-1,2011-06,2011-06
Big Street ATM,2011-06-07,27,12,15,106000,43800,62200,Tuesday,National_holiday,,WWW,Tuesday,-3,-3,2011-06,2011-06
Mount Road ATM,2011-06-07,179,83,96,739700,440000,299700,Tuesday,National_holiday,,WWW,Tuesday,-13,-13,2011-06,2011-06
Airport ATM,2011-06-07,129,96,33,496900,381900,115000,Tuesday,National_holiday,,WWW,Tuesday,63,63,2011-06,2011-06
KK Nagar ATM,2011-06-07,200,151,49,887500,706900,180600,Tuesday,National_holiday,,WWW,Tuesday,102,102,2011-06,2011-06
Christ College ATM,2011-06-07,86,48,38,381700,199400,182300,Tuesday,National_holiday,,WWW,Tuesday,10,10,2011-06,2011-06
KK Nagar ATM,2011-06-08,202,157,45,884200,711200,173000,Wednesday,National_holiday,,WWW,Wednesday,112,112,2011-06,2011-06
Airport ATM,2011-06-08,115,85,30,519100,397700,121400,Wednesday,National_holiday,,WWW,Wednesday,55,55,2011-06,2011-06
Christ College ATM,2011-06-08,92,40,52,399400,164400,235000,Wednesday,National_holiday,,WWW,Wednesday,-12,-12,2011-06,2011-06
Big Street ATM,2011-06-08,32,12,20,109100,36400,72700,Wednesday,National_holiday,,WWW,Wednesday,-8,-8,2011-06,2011-06
Mount Road ATM,2011-06-08,222,92,130,868800,467900,400900,Wednesday,National_holiday,,WWW,Wednesday,-38,-38,2011-06,2011-06
Big Street ATM,2011-06-09,35,15,20,171700,65800,105900,Thursday,National_holiday,,WWW,Thursday,-5,-5,2011-06,2011-06
Mount Road ATM,2011-06-09,231,97,134,686000,293800,392200,Thursday,National_holiday,,WWW,Thursday,-37,-37,2011-06,2011-06
Airport ATM,2011-06-09,116,90,26,430100,354800,75300,Thursday,National_holiday,,WWW,Thursday,64,64,2011-06,2011-06
KK Nagar ATM,2011-06-09,194,132,62,781200,510000,271200,Thursday,National_holiday,,WWW,Thursday,70,70,2011-06,2011-06
Christ College ATM,2011-06-09,51,23,28,182700,84800,97900,Thursday,National_holiday,,WWW,Thursday,-5,-5,2011-06,2011-06
Christ College ATM,2011-06-10,98,39,59,421000,139500,281500,Friday,National_holiday,,WWH,Friday,-20,-20,2011-06,2011-06
KK Nagar ATM,2011-06-10,182,137,45,636800,506200,130600,Friday,National_holiday,,WWH,Friday,92,92,2011-06,2011-06
Airport ATM,2011-06-10,106,88,18,460200,419300,40900,Friday,National_holiday,,WWH,Friday,70,70,2011-06,2011-06
Big Street ATM,2011-06-10,39,22,17,121500,88000,33500,Friday,National_holiday,,WWH,Friday,5,5,2011-06,2011-06
Mount Road ATM,2011-06-10,199,91,108,615800,394400,221400,Friday,National_holiday,,WWH,Friday,-17,-17,2011-06,2011-06
Big Street ATM,2011-06-11,14,8,6,56700,33500,23200,Saturday,National_holiday,True,WHH,Saturday,2,2,2011-06,2011-06
Mount Road ATM,2011-06-11,201,82,119,635200,333800,301400,Saturday,National_holiday,True,WHH,Saturday,-37,-37,2011-06,2011-06
Airport ATM,2011-06-11,119,93,26,479000,392700,86300,Saturday,National_holiday,True,WHH,Saturday,67,67,2011-06,2011-06
KK Nagar ATM,2011-06-11,187,151,36,727600,590200,137400,Saturday,National_holiday,True,WHH,Saturday,115,115,2011-06,2011-06
Christ College ATM,2011-06-11,91,28,63,341500,78200,263300,Saturday,National_holiday,True,WHH,Saturday,-35,-35,2011-06,2011-06
Christ College ATM,2011-06-12,80,22,58,254700,73500,181200,Sunday,National_holiday,True,HHW,Sunday,-36,-36,2011-06,2011-06
KK Nagar ATM,2011-06-12,104,67,37,363100,237900,125200,Sunday,National_holiday,True,HHW,Sunday,30,30,2011-06,2011-06
Airport ATM,2011-06-12,91,57,34,321000,247800,73200,Sunday,National_holiday,True,HHW,Sunday,23,23,2011-06,2011-06
Mount Road ATM,2011-06-12,175,45,130,417900,111400,306500,Sunday,National_holiday,True,HHW,Sunday,-85,-85,2011-06,2011-06
Big Street ATM,2011-06-12,29,14,15,125500,62300,63200,Sunday,National_holiday,True,HHW,Sunday,-1,-1,2011-06,2011-06
Big Street ATM,2011-07-01,38,19,19,158800,85500,73300,Friday,National_holiday,,WWH,Friday,0,0,2011-07,2011-07
Mount Road ATM,2011-07-01,166,73,93,605000,288000,317000,Friday,National_holiday,,WWH,Friday,-20,-20,2011-07,2011-07
Airport ATM,2011-07-01,115,93,22,500200,420800,79400,Friday,National_holiday,,WWH,Friday,71,71,2011-07,2011-07
KK Nagar ATM,2011-07-01,201,165,36,794200,696300,97900,Friday,National_holiday,,WWH,Friday,129,129,2011-07,2011-07
Christ College ATM,2011-07-01,88,47,41,403200,182300,220900,Friday,National_holiday,,WWH,Friday,6,6,2011-07,2011-07
Big Street ATM,2011-07-02,36,18,18,68000,41500,26500,Saturday,National_holiday,True,WHH,Saturday,0,0,2011-07,2011-07
Mount Road ATM,2011-07-02,197,105,92,856500,564000,292500,Saturday,National_holiday,True,WHH,Saturday,13,13,2011-07,2011-07
Airport ATM,2011-07-02,139,117,22,714200,640800,73400,Saturday,National_holiday,True,WHH,Saturday,95,95,2011-07,2011-07
KK Nagar ATM,2011-07-02,196,149,47,896900,648600,248300,Saturday,National_holiday,True,WHH,Saturday,102,102,2011-07,2011-07
Christ College ATM,2011-07-02,87,37,50,421600,211400,210200,Saturday,National_holiday,True,WHH,Saturday,-13,-13,2011-07,2011-07
KK Nagar ATM,2011-07-03,133,99,34,477300,341800,135500,Sunday,National_holiday,True,HHW,Sunday,65,65,2011-07,2011-07
Airport ATM,2011-07-03,107,67,40,472800,341600,131200,Sunday,National_holiday,True,HHW,Sunday,27,27,2011-07,2011-07
Christ College ATM,2011-07-03,85,24,61,325000,108500,216500,Sunday,National_holiday,True,HHW,Sunday,-37,-37,2011-07,2011-07
Big Street ATM,2011-07-03,40,26,14,123200,83800,39400,Sunday,National_holiday,True,HHW,Sunday,12,12,2011-07,2011-07
Mount Road ATM,2011-07-03,177,55,122,668800,314300,354500,Sunday,National_holiday,True,HHW,Sunday,-67,-67,2011-07,2011-07
Big Street ATM,2011-07-04,33,16,17,93400,45800,47600,Monday,National_holiday,,HWW,Monday,-1,-1,2011-07,2011-07
