ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,weekday,net_xyz_vs_,net_xyz_vs_other_card,YearMonth,YearMonth_str
Christ College ATM,2011-03-10,93,40,53,385100,145000,240100,Thursday,National_holiday,,WWW,Thursday,-13,-13,2011-03,2011-03
Big Street ATM,2011-03-11,27,13,14,110200,50100,60100,Friday,National_holiday,,WWW,Friday,-1,-1,2011-03,2011-03
Mount Road ATM,2011-03-11,146,72,74,441100,263300,177800,Friday,National_holiday,,WWW,Friday,-2,-2,2011-03,2011-03
Airport ATM,2011-03-11,75,56,19,299400,238300,61100,Friday,National_holiday,,WWW,Friday,37,37,2011-03,2011-03
KK Nagar ATM,2011-03-11,180,152,28,514400,427900,86500,Friday,National_holiday,,WWW,Friday,124,124,2011-03,2011-03
Christ College ATM,2011-03-11,77,37,40,312900,168100,144800,Friday,National_holiday,,WWW,Friday,-3,-3,2011-03,2011-03
KK Nagar ATM,2011-03-12,196,169,27,583700,499400,84300,Saturday,National_holiday,True,WHH,Saturday,142,142,2011-03,2011-03
Christ College ATM,2011-03-12,67,36,31,262300,98100,164200,Saturday,National_holiday,True,WHH,Saturday,5,5,2011-03,2011-03
Airport ATM,2011-03-12,132,101,31,634000,524400,109600,Saturday,National_holiday,True,WHH,Saturday,70,70,2011-03,2011-03
Mount Road ATM,2011-03-12,156,88,68,502900,314200,188700,Saturday,National_holiday,True,WHH,Saturday,20,20,2011-03,2011-03
Big Street ATM,2011-03-12,30,11,19,82400,59100,23300,Saturday,National_holiday,True,WHH,Saturday,-8,-8,2011-03,2011-03
Big Street ATM,2011-04-01,43,20,23,134700,75900,58800,Friday,National_holiday,,WWH,Friday,-3,-3,2011-04,2011-04
Mount Road ATM,2011-04-01,142,75,67,464800,325400,139400,Friday,National_holiday,,WWH,Friday,8,8,2011-04,2011-04
Airport ATM,2011-04-01,96,80,16,480700,425700,55000,Friday,National_holiday,,WWH,Friday,64,64,2011-04,2011-04
KK Nagar ATM,2011-04-01,184,157,27,557300,508000,49300,Friday,National_holiday,,WWH,Friday,130,130,2011-04,2011-04
Christ College ATM,2011-04-01,75,29,46,336600,195200,141400,Friday,National_holiday,,WWH,Friday,-17,-17,2011-04,2011-04
Big Street ATM,2011-04-02,31,14,17,130500,91200,39300,Saturday,National_holiday,True,WHH,Saturday,-3,-3,2011-04,2011-04
Mount Road ATM,2011-04-02,217,106,111,776400,499500,276900,Saturday,National_holiday,True,WHH,Saturday,-5,-5,2011-04,2011-04
Airport ATM,2011-04-02,126,102,24,555800,465500,90300,Saturday,National_holiday,True,WHH,Saturday,78,78,2011-04,2011-04
KK Nagar ATM,2011-04-02,193,155,38,728200,552100,176100,Saturday,National_holiday,True,WHH,Saturday,117,117,2011-04,2011-04
Christ College ATM,2011-04-02,71,33,38,285100,147000,138100,Saturday,National_holiday,True,WHH,Saturday,-5,-5,2011-04,2011-04
KK Nagar ATM,2011-04-03,155,119,36,571200,465100,106100,Sunday,National_holiday,True,HHW,Sunday,83,83,2011-04,2011-04
Airport ATM,2011-04-03,122,82,40,580000,395100,184900,Sunday,National_holiday,True,HHW,Sunday,42,42,2011-04,2011-04
Christ College ATM,2011-04-03,82,23,59,333000,109600,223400,Sunday,National_holiday,True,HHW,Sunday,-36,-36,2011-04,2011-04
Big Street ATM,2011-04-03,56,21,35,237800,96100,141700,Sunday,National_holiday,True,HHW,Sunday,-14,-14,2011-04,2011-04
Mount Road ATM,2011-04-03,162,41,121,445500,137500,308000,Sunday,National_holiday,True,HHW,Sunday,-80,-80,2011-04,2011-04
